0.00,0.04,0.31,0.00,0.00,0.01,0.10,0.01,0.01,0.49,0.01,0.01
0.04,0.03,0.21,0.01,0.05,0.04,0.13,0.06,0.04,0.29,0.05,0.06
0.20,0.07,0.00,0.00,0.13,0.27,0.00,0.00,0.13,0.20,0.00,0.00
0.03,0.02,0.25,0.01,0.02,0.02,0.24,0.01,0.03,0.33,0.02,0.02
0.00,0.02,0.42,0.01,0.02,0.01,0.10,0.01,0.05,0.32,0.01,0.01
0.01,0.03,0.29,0.02,0.02,0.04,0.13,0.01,0.04,0.39,0.01,0.02
0.02,0.02,0.30,0.02,0.02,0.03,0.14,0.02,0.02,0.37,0.03,0.02
0.02,0.04,0.42,0.03,0.02,0.02,0.14,0.02,0.02,0.22,0.04,0.02
0.04,0.02,0.11,0.02,0.02,0.04,0.06,0.02,0.03,0.58,0.03,0.03
0.02,0.03,0.06,0.03,0.04,0.02,0.09,0.03,0.03,0.58,0.03,0.03
0.00,0.03,0.49,0.01,0.00,0.00,0.18,0.00,0.00,0.27,0.01,0.00
0.03,0.15,0.28,0.07,0.02,0.04,0.10,0.03,0.02,0.19,0.02,0.04
0.01,0.07,0.24,0.01,0.03,0.02,0.39,0.03,0.03,0.11,0.03,0.01
0.00,0.05,0.62,0.01,0.00,0.00,0.17,0.00,0.00,0.12,0.01,0.00
0.00,0.03,0.57,0.01,0.00,0.00,0.18,0.00,0.01,0.19,0.01,0.00
0.01,0.06,0.32,0.01,0.04,0.02,0.34,0.03,0.02,0.12,0.03,0.01
0.01,0.12,0.48,0.01,0.00,0.01,0.18,0.00,0.01,0.16,0.01,0.01
0.00,0.09,0.75,0.01,0.00,0.01,0.06,0.00,0.00,0.07,0.01,0.00
0.05,0.23,0.30,0.09,0.02,0.04,0.03,0.04,0.04,0.07,0.04,0.04
0.05,0.14,0.34,0.08,0.03,0.04,0.12,0.04,0.05,0.03,0.05,0.02
0.03,0.06,0.28,0.02,0.04,0.03,0.37,0.02,0.03,0.08,0.02,0.02
0.01,0.14,0.45,0.03,0.02,0.03,0.05,0.02,0.05,0.11,0.05,0.03
0.00,0.03,0.39,0.01,0.01,0.00,0.28,0.00,0.01,0.25,0.01,0.00
0.03,0.10,0.42,0.04,0.01,0.00,0.09,0.01,0.02,0.25,0.03,0.01
0.01,0.11,0.27,0.01,0.08,0.02,0.33,0.04,0.03,0.07,0.02,0.01
0.00,0.08,0.57,0.01,0.01,0.01,0.13,0.00,0.01,0.17,0.01,0.00
0.00,0.03,0.58,0.00,0.02,0.00,0.21,0.00,0.01,0.12,0.01,0.00
0.00,0.03,0.80,0.00,0.00,0.00,0.06,0.00,0.00,0.09,0.01,0.00
0.00,0.03,0.76,0.01,0.01,0.01,0.07,0.00,0.01,0.08,0.02,0.01
0.02,0.06,0.48,0.04,0.03,0.06,0.10,0.03,0.02,0.08,0.07,0.03
0.01,0.04,0.36,0.01,0.02,0.01,0.18,0.02,0.02,0.29,0.03,0.02
0.02,0.09,0.27,0.03,0.02,0.05,0.22,0.02,0.04,0.22,0.02,0.01
0.01,0.03,0.60,0.01,0.00,0.00,0.13,0.00,0.02,0.20,0.01,0.00
0.01,0.03,0.45,0.03,0.02,0.04,0.19,0.04,0.03,0.09,0.03,0.02
0.01,0.03,0.34,0.00,0.01,0.00,0.18,0.01,0.01,0.39,0.01,0.01
0.01,0.03,0.54,0.03,0.01,0.01,0.05,0.01,0.03,0.26,0.01,0.01
0.02,0.02,0.29,0.03,0.02,0.03,0.32,0.02,0.03,0.19,0.03,0.01
0.01,0.02,0.44,0.02,0.02,0.01,0.20,0.01,0.02,0.25,0.01,0.01
0.02,0.03,0.20,0.05,0.04,0.03,0.34,0.02,0.03,0.15,0.04,0.03
0.02,0.06,0.19,0.02,0.05,0.03,0.36,0.04,0.02,0.17,0.02,0.02
0.00,0.03,0.55,0.01,0.00,0.00,0.19,0.00,0.00,0.20,0.01,0.00
0.00,0.02,0.59,0.01,0.01,0.00,0.18,0.00,0.01,0.16,0.01,0.00
0.02,0.04,0.27,0.01,0.04,0.03,0.39,0.03,0.03,0.13,0.02,0.01
0.00,0.04,0.78,0.01,0.00,0.00,0.06,0.00,0.01,0.10,0.00,0.00
0.01,0.16,0.57,0.05,0.02,0.01,0.02,0.01,0.02,0.10,0.02,0.01
0.04,0.09,0.21,0.04,0.03,0.03,0.16,0.02,0.06,0.26,0.03,0.04
0.01,0.09,0.47,0.01,0.01,0.02,0.08,0.00,0.04,0.24,0.02,0.01
0.00,0.01,0.28,0.02,0.01,0.00,0.41,0.00,0.02,0.21,0.01,0.01
0.01,0.06,0.31,0.05,0.03,0.02,0.24,0.02,0.01,0.22,0.02,0.01
0.02,0.05,0.40,0.01,0.03,0.01,0.32,0.01,0.01,0.11,0.02,0.01
0.03,0.03,0.36,0.02,0.02,0.02,0.35,0.00,0.02,0.12,0.02,0.01
0.00,0.04,0.59,0.01,0.00,0.00,0.10,0.00,0.01,0.23,0.01,0.01
0.05,0.05,0.07,0.03,0.05,0.05,0.06,0.07,0.06,0.34,0.10,0.07
0.02,0.06,0.35,0.02,0.02,0.02,0.23,0.03,0.03,0.19,0.02,0.02
0.01,0.03,0.47,0.01,0.01,0.00,0.26,0.01,0.02,0.16,0.01,0.00
0.02,0.09,0.26,0.03,0.05,0.03,0.08,0.01,0.02,0.25,0.06,0.09
0.06,0.09,0.10,0.04,0.04,0.06,0.06,0.03,0.06,0.37,0.05,0.05
0.00,0.02,0.34,0.01,0.02,0.01,0.12,0.00,0.01,0.45,0.01,0.01
