0.34,0.03,0.07,0.04,0.17,0.05,0.04,0.08,0.03,0.03,0.03,0.09
0.53,0.00,0.06,0.01,0.16,0.00,0.01,0.13,0.01,0.01,0.03,0.04
0.30,0.03,0.08,0.02,0.14,0.05,0.05,0.14,0.05,0.04,0.05,0.05
0.53,0.05,0.02,0.01,0.04,0.02,0.02,0.10,0.04,0.01,0.02,0.15
0.68,0.00,0.02,0.00,0.08,0.00,0.00,0.13,0.00,0.00,0.01,0.07
0.52,0.01,0.02,0.01,0.08,0.00,0.01,0.23,0.01,0.01,0.01,0.10
0.73,0.01,0.01,0.01,0.03,0.01,0.01,0.11,0.01,0.00,0.02,0.07
0.77,0.01,0.00,0.02,0.01,0.00,0.00,0.11,0.01,0.00,0.01,0.05
0.48,0.03,0.02,0.05,0.04,0.03,0.02,0.09,0.06,0.03,0.07,0.07
0.20,0.05,0.02,0.03,0.32,0.06,0.06,0.11,0.03,0.02,0.04,0.07
0.15,0.01,0.07,0.01,0.49,0.02,0.03,0.04,0.04,0.01,0.03,0.09
0.48,0.01,0.05,0.00,0.28,0.01,0.01,0.02,0.01,0.00,0.01,0.12
0.30,0.10,0.03,0.03,0.12,0.03,0.02,0.03,0.01,0.02,0.04,0.27
0.55,0.00,0.09,0.01,0.23,0.01,0.00,0.01,0.00,0.01,0.00,0.09
0.48,0.05,0.03,0.02,0.07,0.02,0.01,0.02,0.01,0.02,0.03,0.24
0.34,0.02,0.08,0.01,0.29,0.02,0.01,0.03,0.01,0.00,0.01,0.17
0.57,0.00,0.04,0.00,0.27,0.00,0.00,0.02,0.01,0.00,0.01,0.08
0.76,0.00,0.02,0.00,0.07,0.00,0.00,0.02,0.00,0.00,0.02,0.10
0.31,0.00,0.03,0.00,0.37,0.00,0.01,0.13,0.01,0.00,0.02,0.10
0.67,0.00,0.01,0.00,0.10,0.00,0.00,0.12,0.01,0.00,0.01,0.07
0.74,0.00,0.01,0.01,0.04,0.00,0.01,0.11,0.01,0.00,0.02,0.06
0.57,0.01,0.01,0.02,0.06,0.01,0.01,0.16,0.02,0.02,0.04,0.09
0.45,0.00,0.00,0.00,0.12,0.00,0.00,0.36,0.00,0.00,0.01,0.04
0.54,0.00,0.00,0.00,0.10,0.00,0.00,0.26,0.00,0.00,0.01,0.08
0.70,0.00,0.00,0.00,0.02,0.00,0.00,0.22,0.00,0.00,0.01,0.04
0.62,0.07,0.04,0.03,0.03,0.02,0.03,0.05,0.03,0.03,0.03,0.03
0.38,0.00,0.02,0.00,0.38,0.01,0.01,0.10,0.02,0.00,0.02,0.05
0.23,0.06,0.02,0.07,0.27,0.11,0.02,0.04,0.02,0.03,0.06,0.08
0.49,0.00,0.03,0.00,0.33,0.00,0.01,0.04,0.02,0.01,0.01,0.06
0.54,0.00,0.04,0.00,0.27,0.00,0.00,0.02,0.00,0.00,0.01,0.10
0.33,0.01,0.03,0.01,0.35,0.02,0.02,0.07,0.01,0.00,0.03,0.13
0.54,0.01,0.01,0.00,0.18,0.00,0.00,0.07,0.01,0.00,0.02,0.16
0.39,0.00,0.03,0.00,0.34,0.00,0.00,0.11,0.01,0.00,0.02,0.09
0.34,0.06,0.06,0.01,0.15,0.04,0.02,0.03,0.02,0.01,0.02,0.23
0.68,0.00,0.04,0.00,0.15,0.00,0.00,0.02,0.00,0.00,0.00,0.10
0.55,0.02,0.02,0.01,0.06,0.01,0.00,0.02,0.00,0.01,0.01,0.29
0.72,0.00,0.06,0.00,0.12,0.00,0.00,0.01,0.00,0.00,0.00,0.09
0.40,0.03,0.05,0.03,0.10,0.03,0.01,0.06,0.02,0.03,0.01,0.23
0.29,0.01,0.11,0.00,0.31,0.00,0.03,0.06,0.01,0.01,0.02,0.13
0.30,0.04,0.06,0.05,0.19,0.05,0.03,0.09,0.02,0.03,0.05,0.10
0.58,0.00,0.06,0.00,0.13,0.00,0.02,0.08,0.01,0.00,0.01,0.09
0.33,0.03,0.07,0.06,0.18,0.04,0.01,0.03,0.01,0.03,0.06,0.13
0.58,0.00,0.08,0.01,0.16,0.00,0.02,0.02,0.01,0.00,0.01,0.12
0.27,0.03,0.04,0.03,0.36,0.04,0.01,0.08,0.02,0.02,0.02,0.08
0.24,0.00,0.07,0.00,0.40,0.00,0.03,0.05,0.00,0.00,0.01,0.18
0.40,0.02,0.08,0.02,0.30,0.02,0.01,0.02,0.01,0.01,0.02,0.11
0.67,0.00,0.06,0.00,0.15,0.00,0.01,0.01,0.00,0.00,0.00,0.09
0.42,0.00,0.04,0.00,0.36,0.00,0.02,0.06,0.02,0.00,0.01,0.07
0.65,0.03,0.01,0.00,0.06,0.01,0.01,0.07,0.01,0.01,0.03,0.13
0.27,0.02,0.07,0.04,0.33,0.04,0.01,0.06,0.02,0.01,0.03,0.10
0.35,0.01,0.03,0.01,0.34,0.05,0.01,0.06,0.02,0.02,0.04,0.06
0.64,0.00,0.02,0.00,0.15,0.01,0.01,0.06,0.01,0.00,0.02,0.07
0.25,0.06,0.05,0.07,0.09,0.04,0.06,0.07,0.06,0.03,0.04,0.18
0.39,0.03,0.02,0.01,0.30,0.05,0.03,0.07,0.02,0.02,0.02,0.06
0.03,0.01,0.01,0.07,0.02,0.04,0.02,0.02,0.28,0.43,0.03,0.03
0.41,0.00,0.06,0.01,0.32,0.01,0.01,0.06,0.01,0.01,0.01,0.08
0.07,0.03,0.03,0.06,0.37,0.07,0.04,0.04,0.10,0.07,0.06,0.08
0.32,0.00,0.05,0.00,0.35,0.01,0.01,0.16,0.01,0.01,0.01,0.07
0.16,0.04,0.06,0.28,0.11,0.03,0.01,0.08,0.03,0.04,0.04,0.12
0.52,0.01,0.01,0.00,0.13,0.02,0.01,0.18,0.02,0.02,0.02,0.06
0.45,0.00,0.06,0.01,0.26,0.01,0.01,0.09,0.01,0.01,0.01,0.07
0.33,0.11,0.03,0.03,0.03,0.06,0.07,0.09,0.04,0.02,0.05,0.14
0.35,0.02,0.02,0.01,0.24,0.04,0.02,0.12,0.03,0.04,0.04,0.07
0.38,0.02,0.03,0.01,0.23,0.01,0.02,0.12,0.01,0.03,0.03,0.11
0.69,0.00,0.06,0.00,0.14,0.00,0.00,0.02,0.00,0.00,0.00,0.07
0.77,0.00,0.03,0.00,0.07,0.00,0.00,0.01,0.00,0.00,0.00,0.10
0.39,0.04,0.03,0.03,0.11,0.03,0.01,0.04,0.01,0.02,0.03,0.26
0.67,0.00,0.06,0.00,0.13,0.00,0.01,0.01,0.00,0.00,0.00,0.11
0.78,0.00,0.02,0.01,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.08
0.63,0.01,0.04,0.01,0.10,0.01,0.02,0.06,0.01,0.01,0.01,0.10
0.69,0.00,0.03,0.01,0.08,0.00,0.02,0.03,0.01,0.01,0.01,0.11
0.37,0.07,0.01,0.04,0.03,0.02,0.03,0.06,0.04,0.04,0.06,0.25
0.40,0.07,0.02,0.01,0.13,0.01,0.01,0.17,0.02,0.03,0.02,0.12
0.22,0.05,0.03,0.03,0.28,0.05,0.02,0.11,0.01,0.01,0.02,0.16
0.12,0.03,0.02,0.01,0.65,0.07,0.01,0.01,0.01,0.01,0.01,0.06
0.15,0.04,0.03,0.04,0.25,0.10,0.04,0.12,0.03,0.03,0.05,0.13
0.05,0.02,0.03,0.02,0.51,0.08,0.01,0.02,0.02,0.03,0.03,0.19
0.29,0.03,0.04,0.03,0.26,0.05,0.02,0.04,0.02,0.01,0.03,0.19
0.57,0.00,0.07,0.00,0.24,0.00,0.01,0.01,0.00,0.00,0.01,0.09
0.20,0.03,0.06,0.01,0.33,0.06,0.02,0.04,0.03,0.01,0.02,0.18
0.57,0.00,0.07,0.00,0.21,0.00,0.01,0.01,0.00,0.00,0.01,0.10
0.40,0.02,0.03,0.01,0.18,0.03,0.02,0.04,0.02,0.01,0.02,0.23
0.55,0.00,0.03,0.00,0.13,0.00,0.03,0.04,0.00,0.00,0.02,0.19
0.22,0.26,0.07,0.05,0.07,0.03,0.02,0.06,0.02,0.01,0.03,0.16
