0.77,0.00,0.00,0.03,0.01,0.11,0.01,0.01,0.00,0.05,0.00,0.00
0.64,0.05,0.04,0.02,0.02,0.02,0.01,0.04,0.01,0.02,0.03,0.10
0.32,0.01,0.01,0.03,0.04,0.36,0.03,0.09,0.00,0.08,0.02,0.02
0.36,0.02,0.01,0.01,0.04,0.26,0.02,0.11,0.01,0.10,0.04,0.02
0.31,0.01,0.01,0.04,0.04,0.34,0.03,0.07,0.01,0.09,0.03,0.03
0.39,0.01,0.01,0.01,0.14,0.06,0.02,0.17,0.01,0.15,0.02,0.03
0.38,0.01,0.01,0.02,0.02,0.23,0.02,0.06,0.01,0.20,0.03,0.02
0.39,0.02,0.01,0.01,0.08,0.11,0.04,0.06,0.02,0.21,0.03,0.02
0.37,0.02,0.01,0.02,0.04,0.23,0.03,0.07,0.01,0.10,0.04,0.05
0.57,0.01,0.02,0.04,0.05,0.03,0.02,0.12,0.03,0.06,0.03,0.02
0.37,0.02,0.03,0.03,0.06,0.09,0.03,0.06,0.01,0.23,0.04,0.01
0.44,0.02,0.02,0.03,0.04,0.15,0.02,0.08,0.01,0.11,0.07,0.02
0.36,0.02,0.03,0.03,0.02,0.18,0.03,0.04,0.05,0.16,0.06,0.02
0.48,0.00,0.00,0.01,0.03,0.12,0.01,0.03,0.00,0.30,0.02,0.01
0.46,0.02,0.01,0.01,0.03,0.19,0.02,0.02,0.01,0.10,0.04,0.09
0.79,0.01,0.00,0.01,0.01,0.05,0.01,0.04,0.01,0.06,0.01,0.01
0.62,0.01,0.00,0.01,0.01,0.09,0.01,0.02,0.00,0.17,0.01,0.04
0.33,0.03,0.04,0.03,0.10,0.12,0.03,0.05,0.06,0.06,0.03,0.11
0.37,0.03,0.04,0.04,0.03,0.13,0.03,0.05,0.04,0.07,0.03,0.15
0.60,0.02,0.01,0.01,0.02,0.16,0.03,0.02,0.01,0.06,0.01,0.05
0.58,0.04,0.02,0.01,0.02,0.14,0.01,0.02,0.01,0.09,0.02,0.04
0.41,0.02,0.01,0.02,0.02,0.22,0.02,0.02,0.01,0.18,0.02,0.05
0.19,0.04,0.02,0.02,0.04,0.39,0.02,0.04,0.02,0.11,0.02,0.10
0.43,0.01,0.01,0.03,0.03,0.32,0.01,0.03,0.01,0.05,0.02,0.05
0.31,0.01,0.01,0.02,0.03,0.36,0.02,0.04,0.01,0.15,0.02,0.03
0.44,0.01,0.01,0.03,0.04,0.29,0.02,0.04,0.01,0.06,0.02,0.04
0.46,0.01,0.01,0.03,0.04,0.23,0.01,0.06,0.01,0.06,0.03,0.05
0.41,0.02,0.01,0.02,0.03,0.14,0.02,0.06,0.01,0.19,0.03,0.06
0.35,0.03,0.04,0.04,0.03,0.22,0.03,0.02,0.02,0.07,0.02,0.14
0.67,0.04,0.01,0.01,0.02,0.03,0.01,0.04,0.01,0.03,0.01,0.12
0.40,0.02,0.01,0.04,0.02,0.27,0.02,0.04,0.01,0.11,0.02,0.03
0.02,0.01,0.00,0.01,0.06,0.02,0.01,0.03,0.02,0.78,0.02,0.01
0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.07,0.09,0.55,0.05,0.05
0.24,0.02,0.01,0.01,0.05,0.09,0.03,0.05,0.01,0.44,0.03,0.02
0.64,0.01,0.01,0.02,0.03,0.05,0.01,0.13,0.02,0.05,0.02,0.01
0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.90,0.00,0.00
0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.01,0.90,0.01,0.00
0.71,0.01,0.01,0.01,0.02,0.02,0.01,0.11,0.01,0.04,0.01,0.05
0.45,0.02,0.01,0.01,0.02,0.04,0.01,0.04,0.01,0.33,0.03,0.02
0.44,0.03,0.01,0.01,0.05,0.04,0.01,0.14,0.01,0.20,0.01,0.04
0.43,0.02,0.02,0.04,0.03,0.10,0.03,0.12,0.01,0.15,0.04,0.02
0.33,0.02,0.01,0.02,0.07,0.27,0.03,0.17,0.01,0.05,0.02,0.02
0.51,0.01,0.00,0.02,0.02,0.27,0.01,0.04,0.00,0.08,0.01,0.03
0.60,0.00,0.00,0.01,0.02,0.20,0.01,0.04,0.00,0.09,0.01,0.02
0.58,0.01,0.00,0.01,0.05,0.15,0.01,0.03,0.00,0.11,0.01,0.03
